大雁塔( JD001) to 香积寺( JD037), {'origin': '108.964162,34.21828', 'destination': '108.892492,34.12273', 'distance': '17602', 'duration': '3349', 'strategy': '速度最快'}
大雁塔( JD001) to 大兴善寺( JD038), {'origin': '108.964162,34.21828', 'destination': '108.943506,34.22708', 'distance': '4939', 'duration': '2359', 'strategy': '速度最快'}
大雁塔( JD001) to 重阳宫( JD039), {'origin': '108.964162,34.21828', 'destination': '108.494335,34.10811', 'distance': '60768', 'duration': '4634', 'strategy': '速度最快'}
大雁塔( JD001) to 临潼博物馆( JD040), {'origin': '108.964162,34.21828', 'destination': '109.216896,34.36426', 'distance': '39055', 'duration': '4481', 'strategy': '速度最快'}
大雁塔( JD001) to 水陆庵( JD041), {'origin': '108.964162,34.21828', 'destination': '109.416813,34.13190', 'distance': '58807', 'duration': '5579', 'strategy': '速度最快'}
大雁塔( JD001) to 蓝田猿人遗址( JD042), {'origin': '108.964162,34.21828', 'destination': '109.494983,34.18289', 'distance': '65795', 'duration': '5395', 'strategy': '速度最快'}
大雁塔( JD001) to 八路军西安办事处纪念馆( JD043), {'origin': '108.964162,34.21828', 'destination': '108.955197,34.27313', 'distance': '10188', 'duration': '3567', 'strategy': '速度最快'}
大雁塔( JD001) to 终南山南五台景区( JD044), {'origin': '108.964162,34.21828', 'destination': '108.973208,34.00574', 'distance': '43292', 'duration': '7371', 'strategy': '速度最快'}
大雁塔( JD001) to 蔡文姬纪念馆( JD045), {'origin': '108.964162,34.21828', 'destination': '109.308210,34.17274', 'distance': '44399', 'duration': '3965', 'strategy': '速度最快'}
大雁塔( JD001) to 秦龙乳业旅游园( JD046), {'origin': '108.964162,34.21828', 'destination': '109.341996,34.67156', 'distance': '83917', 'duration': '6179', 'strategy': '速度最快'}
大雁塔( JD001) to 大汉上林苑(杜陵)文化生态景区( JD047), {'origin': '108.964162,34.21828', 'destination': '109.026838,34.18162', 'distance': '11295', 'duration': '2817', 'strategy': '速度最快'}
大雁塔( JD001) to 杨虎城将军陵园( JD048), {'origin': '108.964162,34.21828', 'destination': '108.954761,34.14448', 'distance': '10969', 'duration': '2723', 'strategy': '速度最快'}
大雁塔( JD001) to 青龙寺遗址博物馆( JD049), {'origin': '108.964162,34.21828', 'destination': '108.989169,34.23351', 'distance': '6301', 'duration': '1998', 'strategy': '速度最快'}
大雁塔( JD001) to 大秦岭广新园民族村景区( JD050), {'origin': '108.964162,34.21828', 'destination': '108.861636,33.93392', 'distance': '45602', 'duration': '6549', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 大雁塔( JD001), {'origin': '108.974360,34.21271', 'destination': '108.964162,34.21828', 'distance': '3375', 'duration': '1495', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 西安城墙( JD003), {'origin': '108.974360,34.21271', 'destination': '108.947207,34.27584', 'distance': '13071', 'duration': '2481', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 华清宫( JD004), {'origin': '108.974360,34.21271', 'destination': '109.215759,34.35672', 'distance': '39814', 'duration': '4033', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 秦始皇帝陵博物院( JD005), {'origin': '108.974360,34.21271', 'destination': '109.282056,34.38629', 'distance': '45203', 'duration': '3954', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 大明宫国家遗址公园( JD006), {'origin': '108.974360,34.21271', 'destination': '108.963530,34.29258', 'distance': '12188', 'duration': '2423', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 西安碑林博物馆( JD007), {'origin': '108.974360,34.21271', 'destination': '108.952840,34.25386', 'distance': '7751', 'duration': '2132', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 西安秦岭野生动物园( JD008), {'origin': '108.974360,34.21271', 'destination': '108.866715,34.04745', 'distance': '43685', 'duration': '6106', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 陕西历史博物馆( JD009), {'origin': '108.974360,34.21271', 'destination': '108.955044,34.22419', 'distance': '4395', 'duration': '1416', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 昆明池七夕公园( JD010), {'origin': '108.974360,34.21271', 'destination': '108.775124,34.20915', 'distance': '26166', 'duration': '3369', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 西安明城墙( JD011), {'origin': '108.974360,34.21271', 'destination': '108.947147,34.25130', 'distance': '8553', 'duration': '2751', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 白鹿原·白鹿仓( JD012), {'origin': '108.974360,34.21271', 'destination': '109.114807,34.21790', 'distance': '20659', 'duration': '2540', 'strategy': '速度最快'}
大唐芙蓉园( JD002) to 大唐西市( JD013), {'origin': '108.974360,34.21271', 'destination': '108.907984,34.24636', 'distance': '12812', 'duration': '2205', 'strategy': '速度最快'}
